"zcta","tmean","date","day","month","year"
"35808",5.63196194509487,"01/01/1981","01","01",1981
"35810",5.2210756101688,"01/01/1981","01","01",1981
"35811",5.1599637794795,"01/01/1981","01","01",1981
"35816",5.47856383528528,"01/01/1981","01","01",1981
"35824",5.7645441091111,"01/01/1981","01","01",1981
"35896",5.4680120347382,"01/01/1981","01","01",1981
"35901",5.02110793918155,"01/01/1981","01","01",1981
"35903",4.96742064345737,"01/01/1981","01","01",1981
"35904",5.00580181468933,"01/01/1981","01","01",1981
"35905",5.2369222950897,"01/01/1981","01","01",1981
"35906",5.16564982072958,"01/01/1981","01","01",1981
"35907",5.18540157578981,"01/01/1981","01","01",1981
"35950",5.64454818906011,"01/01/1981","01","01",1981
"35951",5.44422450679639,"01/01/1981","01","01",1981
"35952",5.6113565228574,"01/01/1981","01","01",1981
"35953",5.42693326004472,"01/01/1981","01","01",1981
"35954",5.04180328810906,"01/01/1981","01","01",1981
"35956",5.22384790800729,"01/01/1981","01","01",1981
"35957",5.54427308336837,"01/01/1981","01","01",1981
"35958",3.2273114357877,"01/01/1981","01","01",1981
"35959",4.07313902902742,"01/01/1981","01","01",1981
"35960",4.01346808173958,"01/01/1981","01","01",1981
"35961",4.41280517801993,"01/01/1981","01","01",1981
"35962",5.07646851016818,"01/01/1981","01","01",1981
"35963",4.51403798600831,"01/01/1981","01","01",1981
"35966",2.84083374018199,"01/01/1981","01","01",1981
"35967",3.11299912768904,"01/01/1981","01","01",1981
"35968",3.77402698812116,"01/01/1981","01","01",1981
"35971",4.40482480602219,"01/01/1981","01","01",1981
"35972",5.09556151162292,"01/01/1981","01","01",1981
"35973",3.97504057097998,"01/01/1981","01","01",1981
"35974",4.92438018490759,"01/01/1981","01","01",1981
"35975",4.94880230985673,"01/01/1981","01","01",1981
"35976",5.66736685441909,"01/01/1981","01","01",1981
"35978",3.09347457471572,"01/01/1981","01","01",1981
"35979",2.94584953820615,"01/01/1981","01","01",1981
"35980",5.90801903316891,"01/01/1981","01","01",1981
"35981",2.54509682334276,"01/01/1981","01","01",1981
"35983",3.84936498347561,"01/01/1981","01","01",1981
"35984",2.25948177758694,"01/01/1981","01","01",1981
"35986",3.99503958271263,"01/01/1981","01","01",1981
"35987",5.11412480436273,"01/01/1981","01","01",1981
"35988",3.69987491501863,"01/01/1981","01","01",1981
"35989",2.66060564145603,"01/01/1981","01","01",1981
"35990",5.74428972850361,"01/01/1981","01","01",1981
"36003",6.20332765730428,"01/01/1981","01","01",1981
"36005",5.2785239277358,"01/01/1981","01","01",1981
"36006",5.94971983794002,"01/01/1981","01","01",1981
"36009",6.31665876557192,"01/01/1981","01","01",1981
"36010",5.93290317438534,"01/01/1981","01","01",1981
"36013",5.43934348024354,"01/01/1981","01","01",1981
"36016",5.42820714702394,"01/01/1981","01","01",1981
"36017",5.84422234457568,"01/01/1981","01","01",1981
"36020",6.11056642683078,"01/01/1981","01","01",1981
"36022",5.66058623492939,"01/01/1981","01","01",1981
"36024",5.22036294300535,"01/01/1981","01","01",1981
"36025",5.92051377548512,"01/01/1981","01","01",1981
"36026",5.42637623033445,"01/01/1981","01","01",1981
"36027",5.52006243085796,"01/01/1981","01","01",1981
"36028",6.35369539327141,"01/01/1981","01","01",1981
"36029",5.34644725713713,"01/01/1981","01","01",1981
"36030",6.21225582058984,"01/01/1981","01","01",1981
"36031",5.04913049453654,"01/01/1981","01","01",1981
"36032",6.24049575054676,"01/01/1981","01","01",1981
"36033",6.22291802601878,"01/01/1981","01","01",1981
"36034",6.05237434961311,"01/01/1981","01","01",1981
"36035",6.14667376409161,"01/01/1981","01","01",1981
"36036",6.04641502323083,"01/01/1981","01","01",1981
"36037",6.28131102853968,"01/01/1981","01","01",1981
"36038",6.26971494515389,"01/01/1981","01","01",1981
"36039",5.18126639737601,"01/01/1981","01","01",1981
"36040",6.17238900254313,"01/01/1981","01","01",1981
"36041",6.31884344828294,"01/01/1981","01","01",1981
"36042",6.29902557763184,"01/01/1981","01","01",1981
"36043",6.27229579148998,"01/01/1981","01","01",1981
"36046",6.38394389553885,"01/01/1981","01","01",1981
"36047",6.20827819806563,"01/01/1981","01","01",1981
"36048",5.56796560296196,"01/01/1981","01","01",1981
"36049",6.17011137095457,"01/01/1981","01","01",1981
"36051",5.66898236923719,"01/01/1981","01","01",1981
"36052",5.63375291284392,"01/01/1981","01","01",1981
"36053",5.14623820832305,"01/01/1981","01","01",1981
"36054",6.06769343057068,"01/01/1981","01","01",1981
"36064",5.67863496937302,"01/01/1981","01","01",1981
"36066",5.96827093327216,"01/01/1981","01","01",1981
"36067",6.0607546550435,"01/01/1981","01","01",1981
"36069",5.96432673548577,"01/01/1981","01","01",1981
"36071",6.24158049298415,"01/01/1981","01","01",1981
"36075",5.30813655937921,"01/01/1981","01","01",1981
"36078",5.14853948136074,"01/01/1981","01","01",1981
"36079",6.04866288722394,"01/01/1981","01","01",1981
"36080",5.46201632916813,"01/01/1981","01","01",1981
"36081",5.55636588033404,"01/01/1981","01","01",1981
"36082",5.88336432586019,"01/01/1981","01","01",1981
"36083",5.16455269904444,"01/01/1981","01","01",1981
"36088",5.15205322735126,"01/01/1981","01","01",1981
"36089",4.77756495030518,"01/01/1981","01","01",1981
"36091",5.62404443559089,"01/01/1981","01","01",1981
"36092",5.53073082904449,"01/01/1981","01","01",1981
"36093",5.51182792598761,"01/01/1981","01","01",1981
"36104",6.24976572158798,"01/01/1981","01","01",1981
"36105",6.21496080059255,"01/01/1981","01","01",1981
"36106",6.062075616671,"01/01/1981","01","01",1981
"36107",6.09933531689319,"01/01/1981","01","01",1981
"36108",6.35568030745639,"01/01/1981","01","01",1981
"36109",6.01065939400881,"01/01/1981","01","01",1981
"36110",6.0465277453098,"01/01/1981","01","01",1981
"36111",6.14730860075537,"01/01/1981","01","01",1981
"36112",6.32417239675367,"01/01/1981","01","01",1981
"36113",6.34525855461277,"01/01/1981","01","01",1981
"36115",6.0479382603934,"01/01/1981","01","01",1981
"36116",6.0801410580274,"01/01/1981","01","01",1981
"36117",5.76953870669882,"01/01/1981","01","01",1981
"36201",5.39763545991376,"01/01/1981","01","01",1981
"36203",5.5497281449661,"01/01/1981","01","01",1981
"36205",5.16520531435124,"01/01/1981","01","01",1981
"36206",5.22276463735568,"01/01/1981","01","01",1981
"36207",5.20175040165241,"01/01/1981","01","01",1981
"36250",5.29948665411335,"01/01/1981","01","01",1981
"36251",5.30693748188952,"01/01/1981","01","01",1981
"36255",5.24852059263146,"01/01/1981","01","01",1981
"36256",5.29253237680046,"01/01/1981","01","01",1981
"36258",5.32631108722517,"01/01/1981","01","01",1981
"36260",5.49262184211473,"01/01/1981","01","01",1981
"36262",4.78653264521684,"01/01/1981","01","01",1981
"36263",4.9941175670963,"01/01/1981","01","01",1981
"36264",4.98868616622553,"01/01/1981","01","01",1981
"36265",5.03007064021718,"01/01/1981","01","01",1981
"36266",5.31086921734539,"01/01/1981","01","01",1981
"36267",5.33700595983758,"01/01/1981","01","01",1981
"36268",5.48607930965128,"01/01/1981","01","01",1981
"36269",4.61493527803156,"01/01/1981","01","01",1981
"36271",5.31815040766252,"01/01/1981","01","01",1981
"36272",4.57768052811597,"01/01/1981","01","01",1981
"36273",4.740115597888,"01/01/1981","01","01",1981
"36274",5.21341175032113,"01/01/1981","01","01",1981
"36276",5.12356933755574,"01/01/1981","01","01",1981
"36277",5.21852921581464,"01/01/1981","01","01",1981
"36278",5.2102240540041,"01/01/1981","01","01",1981
"36279",5.25785991868221,"01/01/1981","01","01",1981
"36280",5.00364797298734,"01/01/1981","01","01",1981
"36301",6.102038808782,"01/01/1981","01","01",1981
"36303",6.00828195561763,"01/01/1981","01","01",1981
"36305",5.97660537052683,"01/01/1981","01","01",1981
"36310",5.74840447456126,"01/01/1981","01","01",1981
