point_id,long,lat
586,78.75,89.25
587,79.5,89.25
588,80.25,89.25
589,81,89.25
590,81.75,89.25
591,82.5,89.25
592,83.25,89.25
593,84,89.25
594,84.75,89.25
595,85.5,89.25
596,86.25,89.25
597,87,89.25
598,87.75,89.25
599,88.5,89.25
600,89.25,89.25
601,90,89.25
602,90.75,89.25
603,91.5,89.25
604,92.25,89.25
605,93,89.25
606,93.75,89.25
607,94.5,89.25
608,95.25,89.25
609,96,89.25
610,96.75,89.25
611,97.5,89.25
612,98.25,89.25
613,99,89.25
614,99.75,89.25
615,100.5,89.25
616,101.25,89.25
617,102,89.25
618,102.75,89.25
619,103.5,89.25
620,104.25,89.25
621,105,89.25
622,105.75,89.25
623,106.5,89.25
624,107.25,89.25
625,108,89.25
626,108.75,89.25
627,109.5,89.25
628,110.25,89.25
629,111,89.25
630,111.75,89.25
631,112.5,89.25
632,113.25,89.25
633,114,89.25
634,114.75,89.25
635,115.5,89.25
636,116.25,89.25
637,117,89.25
638,117.75,89.25
639,118.5,89.25
640,119.25,89.25
641,120,89.25
642,120.75,89.25
643,121.5,89.25
644,122.25,89.25
645,123,89.25
646,123.75,89.25
647,124.5,89.25
648,125.25,89.25
649,126,89.25
650,126.75,89.25
651,127.5,89.25
652,128.25,89.25
653,129,89.25
654,129.75,89.25
655,130.5,89.25
656,131.25,89.25
657,132,89.25
658,132.75,89.25
659,133.5,89.25
660,134.25,89.25
661,135,89.25
662,135.75,89.25
663,136.5,89.25
664,137.25,89.25
665,138,89.25
666,138.75,89.25
667,139.5,89.25
668,140.25,89.25
669,141,89.25
670,141.75,89.25
671,142.5,89.25
672,143.25,89.25
673,144,89.25
674,144.75,89.25
675,145.5,89.25
676,146.25,89.25
677,147,89.25
678,147.75,89.25
679,148.5,89.25
680,149.25,89.25
681,150,89.25
682,150.75,89.25
683,151.5,89.25
684,152.25,89.25
685,153,89.25
686,153.75,89.25
687,154.5,89.25
688,155.25,89.25
689,156,89.25
690,156.75,89.25
691,157.5,89.25
692,158.25,89.25
693,159,89.25
694,159.75,89.25
695,160.5,89.25
696,161.25,89.25
697,162,89.25
698,162.75,89.25
699,163.5,89.25
700,164.25,89.25
701,165,89.25
702,165.75,89.25
703,166.5,89.25
704,167.25,89.25
705,168,89.25
706,168.75,89.25
707,169.5,89.25
708,170.25,89.25
709,171,89.25
710,171.75,89.25
711,172.5,89.25
712,173.25,89.25
713,174,89.25
714,174.75,89.25
715,175.5,89.25
716,176.25,89.25
717,177,89.25
718,177.75,89.25
719,178.5,89.25
720,179.25,89.25
721,180,89.25
722,-179.25,89.25
723,-178.5,89.25
724,-177.75,89.25
725,-177,89.25
726,-176.25,89.25
727,-175.5,89.25
728,-174.75,89.25
729,-174,89.25
730,-173.25,89.25
731,-172.5,89.25
732,-171.75,89.25
733,-171,89.25
734,-170.25,89.25
735,-169.5,89.25
736,-168.75,89.25
737,-168,89.25
738,-167.25,89.25
739,-166.5,89.25
740,-165.75,89.25
741,-165,89.25
742,-164.25,89.25
743,-163.5,89.25
744,-162.75,89.25
745,-162,89.25
746,-161.25,89.25
747,-160.5,89.25
748,-159.75,89.25
749,-159,89.25
750,-158.25,89.25
751,-157.5,89.25
752,-156.75,89.25
753,-156,89.25
754,-155.25,89.25
755,-154.5,89.25
756,-153.75,89.25
757,-153,89.25
758,-152.25,89.25
759,-151.5,89.25
760,-150.75,89.25
761,-150,89.25
762,-149.25,89.25
763,-148.5,89.25
764,-147.75,89.25
765,-147,89.25
766,-146.25,89.25
767,-145.5,89.25
768,-144.75,89.25
769,-144,89.25
770,-143.25,89.25
771,-142.5,89.25
772,-141.75,89.25
773,-141,89.25
774,-140.25,89.25
775,-139.5,89.25
776,-138.75,89.25
777,-138,89.25
778,-137.25,89.25
779,-136.5,89.25
780,-135.75,89.25
781,-135,89.25
782,-134.25,89.25
783,-133.5,89.25
784,-132.75,89.25
785,-132,89.25
786,-131.25,89.25
787,-130.5,89.25
788,-129.75,89.25
789,-129,89.25
790,-128.25,89.25
791,-127.5,89.25
792,-126.75,89.25
793,-126,89.25
