Merged_county_ID,Fips_codes
652,"29059, 29167, 29225 "
653,"29013, 29037 "
654,"29057, 29011, 29039, 29185, 29085, 29217 "
655,"29119, 29145 "
656,"29221, 29071 "
657,"29053, 29141, 29015, 29195"
658,"29177, 29107 "
659,"29131, 29029 "
660,"29219, 29113 "
661,"29181, 29023, 29069 "
662,"29105, 29169 "
663,"29209, 29009, 29109 "
664,"29035, 29179, 29203, 29093, 29149, 29123, 29091 "
665,"29153, 29067, 29229, 29215, 29213"
666,"29201, 29031 "
667,"29083, 29159, 29101 "
668,30013
669,30063
670,"30061, 30089, 30053, 30047"
671,"30099, 30049 "
672,"30069, 30033, 30079, 30109, 30055, 30025, 30011, 30075, 30071, 30065, 30037, 30107, 30059, 30045, 30097, 30007, 30015, 30051, 30101, 30073, 30103, 30087, 30017, 30003, 30019, 30091, 30105, 30085, 30083, 30021, 30005, 30027, 30041"
673,"30095, 30113, 30031, 30067 "
674,"30009, 30111 "
675,"30035, 30029 "
676,"30039, 30077, 30023, 30001, 30057, 30043, 30093, 30081"
677,"31133, 31097, 31127, 31147, 31131, 31067 "
678,"31051, 31043 "
679,"31101, 31111, 31041 "
680,"31143, 31121, 31093, 31023, 31037, 31167, 31139, 31039, 31053"
681,"31137, 31047, 31019 "
682,"31011, 31003, 31107, 31027, 31179, 31173, 31021, 31089"
683,"31005, 31117, 31075, 31171, 31009, 31115, 31091, 31113, 31149, 31103, 31071, 31183, 31069, 31049, 31015, 31077, 31135, 31085, 31057, 31063, 31073, 31087, 31017, 31163, 31125, 31029, 31175, 31065, 31145"
684,"31061, 31083, 31181, 31129, 31169, 31059, 31035, 31099, 31095, 31081, 31185, 31151"
685,"31159, 31109 "
686,"31177, 31055 "
687,"31155, 31025, 31153 "
688,"31001, 31079 "
689,"31141, 31119 "
690,"31007, 31105, 31123, 31161, 31031, 31045, 31165, 31033, 31013, 31157 "
691,32003
692,32031
693,"32029, 32510 "
694,"32013, 32007 "
695,"32009, 32021, 32001, 32027, 32015, 32011, 32033, 32017, 32023"
696,"32019, 32005 "
697,33001
698,33009
699,33011
700,33013
701,33015
702,33017
703,"33007, 33003 "
704,"33019, 33005 "
705,34001
706,34003
707,34005
708,34007
709,34009
710,34011
711,34013
712,34015
713,34017
714,34019
715,34021
716,34023
717,34025
718,34027
719,34029
720,34031
721,34033
722,34035
723,34037
724,34039
725,34041
726,35001
727,35005
728,35013
729,35031
730,35035
731,35043
732,35045
733,35049
734,"35003, 35051, 35053, 35027"
735,"35023, 35029, 35017 "
736,"35057, 35006, 35061  "
737,"35028, 35039, 35055 "
738,"35021, 35059, 35033, 35037, 35011, 35019, 35007, 35041, 35047, 35009 "
739,"35015, 35025 "
740,36001
741,36005
742,36007
743,36009
744,36011
745,36013
746,36019
747,36021
748,36027
749,36029
750,36037
751,36043
752,36047
753,36051
754,36053
755,36055
756,36059
757,36061
758,36065
759,36067
760,36069
761,36071
762,36075
763,36077
764,36079
765,36081
766,36083
767,36085
768,36087
769,36089
770,36091
771,36101
772,36103
773,36105
774,36109
775,36111
776,36113
777,36115
778,36117
779,36119
780,"36041, 36031, 36033 "
781,"36097, 36123, 36099 "
782,"36049, 36045 "
783,"36095, 36093 "
784,"36121, 36003 "
785,"36073, 36063 "
786,"36039, 36025 "
787,"36023, 36017 "
788,"36057, 36035 "
789,"36107, 36015 "
790,37021
791,37023
792,37025
793,37035
794,37045
795,37057
796,37063
797,37067
798,37071
799,37081
800,37089
801,37097
802,37101
803,37107
804,37109
805,37119
806,37129
807,37133
808,37151
809,37155
810,37159
811,37163
812,37167
813,37171
814,37183
815,37193
816,37195
817,"37075, 37173, 37039, 37043"
818,"37103, 37061 "
819,"37005, 37009, 37189 "
820,"37137, 37013 "
821,"37121, 37011, 37199, 37111"
822,"37149, 37161 "
823,37053
824,"37079, 37191 "
825,"37115, 37087 "
826,"37117, 37083 "
827,37033
828,"37007, 37179 "
829,"37123, 37153 "
830,"37113, 37099, 37175 "
831,"37177, 37095, 37187, 37015, 37131, 37055 "
832,"37017, 37047 "
833,"37093, 37051 "
834,"37003, 37027 "
835,"37165, 37125 "
836,"37059, 37197 "
837,"37029, 37073, 37143, 37041, 37091, 37139 "
838,"37145, 37135 "
839,"37141, 37019 "
840,"37169, 37157 "
841,"37185, 37181, 37077 "
842,"37069, 37127 "
843,"37037, 37001 "
844,"37105, 37085 "
845,"37065, 37147 "
846,"37031, 37049 "
847,38017
848,38035
849,38101
850,"38031, 38093, 38003, 38073, 38081, 38021, 38077 "
851,"38065, 38057, 38055, 38049, 38075, 38013, 38023, 38069, 38095, 38019, 38009, 38061, 38005, 38071, 38099, 38067, 38079"
852,"38087, 38007, 38033, 38001, 38037, 38041, 38011, 38025, 38085, 38029, 38047, 38043, 38083, 38051, 38045, 38103, 38027, 38039, 38091, 38063, 38053, 38105, 38097, 38089"
853,"38059, 38015 "
854,39003
855,39005
856,39007
857,39009
858,39013
859,39023
860,39029
861,39035
862,39043
863,39045
864,39049
865,39055
866,39057
867,39061
868,39063
869,39077
870,39083
871,39085
872,39087
873,39089
874,39093
875,39099
876,39101
877,39103
878,39109
879,39113
880,39119
881,39133
882,39139
883,39141
884,39143
885,39145
886,39147
887,39151
888,39153
889,39155
890,39157
891,39165
892,39167
893,39169
894,"39121, 39111, 39115, 39127"
895,"39163, 39105, 39073 "
896,"39067, 39059 "
897,"39125, 39161, 39137 "
898,"39019, 39081 "
899,"39047, 39027 "
900,"39053, 39079 "
901,"39117, 39041 "
902,"39031, 39075 "
903,"39021, 39091 "
904,"39069, 39171, 39039 "
905,"39001, 39131, 39071 "
906,"39123, 39173 "
907,"39107, 39011 "
908,"39015, 39025 "
909,"39135, 39017 "
910,"39051, 39095 "
911,"39175, 39065, 39033 "
912,"39097, 39159, 39129 "
913,"39149, 39037 "
914,40017
915,40027
916,40031
917,40037
918,40047
919,40101
920,40109
921,40119
922,40125
923,40131
924,40143
925,"40053, 40071, 40103 "
926,"40029, 40069, 40099, 40063, 40107"
927,"40025, 40139, 40007, 40059, 40045, 40129, 40043, 40093, 40003, 40151, 40153 "
928,"40095, 40013, 40019 "
929,"40117, 40113 "
930,"40091, 40121 "
931,"40001, 40041 "
932,"40133, 40123 "
933,"40057, 40055, 40075, 40141, 40033, 40067, 40085, 40149, 40065"
934,"40049, 40137 "
935,"40087, 40051 "
936,"40011, 40073, 40039, 40009, 40015"
937,"40081, 40083 "
938,"40077, 40127, 40061, 40005, 40023, 40089 "
939,"40097, 40021 "
940,"40135, 40079 "
941,"40111, 40145 "
942,"40105, 40035, 40115, 40147"
943,41003
944,41005
945,41017
946,41019
947,41029
948,41033
949,41035
950,41039
951,41043
952,41047
953,41051
954,41053
955,41059
956,41071
957,"41031, 41013, 41065, 41027"
958,"41015, 41011 "
959,"41069, 41021, 41055, 41023, 41025, 41037, 41049, 41001, 41063, 41061, 41045 "
960,"41057, 41007, 41041 "
961,"41009, 41067 "
962,42001
963,42003
964,42005
965,42007
966,42011
967,42013
968,42017
969,42019
970,42021
971,42025
972,42027
973,42029
974,42033
975,42039
976,42043
977,42045
978,42049
979,42051
980,42055
981,42063
982,42071
983,42073
984,42075
985,42077
986,42079
987,42081
988,42085
989,42089
990,42091
991,42095
992,42097
993,42101
994,42107
995,42121
996,42125
997,42129
998,42133
999,"42113, 42015 "
1000,"42093, 42037 "
1001,"42067, 42109 "
1002,"42131, 42069 "
1003,42059
1004,"42035, 42119 "
1005,"42031, 42065 "
1006,"42123, 42083 "
1007,"42053, 42047, 42023, 42105, 42117"
1008,"42115, 42127 "
1009,"42099, 42041 "
1010,"42057, 42061, 42087 "
1011,42103
1012,"42009, 42111 "
1013,44003
1014,44005
1015,44009
1016,"44001, 44007 "
1017,45007
1018,45013
1019,45015
1020,45019
1021,45021
1022,45031
1023,45035
1024,45041
1025,45043
1026,45045
1027,45051
1028,45057
1029,45059
1030,45063
1031,45073
1032,45077
1033,45079
1034,45083
1035,45091
1036,"45065, 45001, 45047 "
1037,"45017, 45085 "
1038,45061
1039,"45081, 45037, 45003 "
1040,"45005, 45009, 45049, 45053, 45011"
1041,"45039, 45055 "
1042,"45067, 45089, 45027 "
1043,"45087, 45023, 45071 "
1044,"45029, 45075 "
1045,"45069, 45033, 45025 "
1046,"46021, 46089, 46045, 46031, 46041, 46129, 46013 "
1047,"46087, 46125, 46083, 46127, 46099"
1048,"46053, 46123, 46121, 46023, 46015, 46009, 46067, 46035, 46027, 46135 "
1049,"46075, 46055, 46095, 46137, 46117, 46119, 46069, 46017, 46073, 46111, 46097, 46107, 46049, 46003, 46071, 46043, 46105, 46063, 46061, 46007, 46059, 46085, 46047, 46033, 46102, 46113, 46019, 46081, 46065"
1050,"46093, 46103 "
1051,"46025, 46077, 46037, 46091, 46057, 46039, 46115, 46051, 46109, 46101, 46079, 46011, 46005, 46029 "
1052,47001
1053,47037
1054,47063
1055,47073
1056,47093
1057,47119
1058,47141
1059,47145
1060,47149
1061,47155
1062,47157
1063,47163
1064,47165
1065,47179
1066,47187
1067,"47175, 47007, 47185, 47041"
1068,"47095, 47131, 47183 "
1069,"47127, 47103, 47117 "
1070,"47135, 47101, 47039, 47181, 47005, 47083, 47085 "
1071,"47121, 47143, 47035 "
1072,"47153, 47115, 47065 "
1073,"47161, 47125 "
1074,"47169, 47159, 47111, 47189, 47015"
1075,"47023, 47113 "
1076,"47139, 47011 "
1077,47091
1078,"47171, 47019 "
1079,"47173, 47057, 47089 "
1080,"47137, 47027, 47087, 47049, 47129, 47133 "
1081,"47081, 47043 "
1082,"47067, 47025, 47013, 47151"
1083,"47109, 47071, 47077 "
1084,"47097, 47045 "
1085,"47017, 47079 "
1086,"47047, 47167 "
1087,"47055, 47099 "
1088,"47029, 47059 "
1089,"47021, 47147 "
1090,"47003, 47031 "
1091,"47123, 47107 "
1092,"47105, 47009 "
1093,"47061, 47177, 47051 "
1094,"47033, 47075, 47069, 47053"
1095,48005
1096,48027
1097,48029
1098,48037
1099,48039
1100,48061
1101,48085
1102,48091
1103,48113
1104,48121
1105,48135
1106,48139
1107,48141
1108,48157
1109,48167
1110,48181
1111,48187
1112,48201
1113,48203
1114,48209
1115,48213
1116,48215
1117,48245
1118,48251
1119,48309
1120,48329
1121,48339
1122,48347
1123,48355
1124,48375
1125,48423
1126,48427
1127,48439
1128,48453
1129,48479
1130,48491
1131,"48235, 48451 "
1132,"48011, 48065, 48381 "
1133,"48333, 48411, 48307, 48193, 48083, 48399, 48093 "
1134,"48119, 48231 "
1135,"48305, 48115, 48165, 48003, 48219"
1136,"48107, 48303 "
1137,"48175, 48469 "
1138,"48335, 48353, 48415, 48227"
1139,"48391, 48025, 48255, 48177"
1140,"48031, 48299, 48053 "
1141,"48009, 48077, 48485 "
1142,"48379, 48223, 48159, 48063"
1143,"48313, 48289, 48161, 48225"
1144,"48059, 48253, 48441 "
1145,"48455, 48373 "
1146,"48079, 48017, 48501, 48369, 48069, 48437, 48153, 48445, 48279, 48189 "
1147,"48239, 48285, 48123 "
1148,"48395, 48051, 48041 "
1149,"48287, 48149, 48089 "
1150,"48019, 48259, 48325 "
1151,"48281, 48099 "
1152,"48337, 48097 "
1153,"48261, 48047, 48247, 48131, 48311, 48283, 48127, 48297, 48505, 48489 "
1154,"48457, 48241 "
1155,"48393, 48295, 48211, 48483, 48195, 48421, 48205, 48359, 48111, 48357, 48117, 48341, 48233"
1156,"48057, 48007, 48409 "
1157,"48269, 48263, 48345, 48155, 48433, 48101, 48045, 48125, 48191, 48087, 48129, 48023, 48447, 48417, 48275, 48151, 48197, 48169, 48033, 48317, 48207, 48075, 48487, 48179"
1158,"48405, 48403, 48351, 48419, 48365"
1159,"48015, 48473 "
1160,"48463, 48323 "
1161,"48407, 48291, 48071 "
1162,"48363, 48143 "
1163,"48147, 48277 "
1164,"48315, 48343, 48387, 48449, 48067"
1165,"48273, 48249 "
1166,"48055, 48021 "
1167,"48493, 48013 "
1168,"48499, 48467 "
1169,"48321, 48481 "
1170,"48237, 48503, 48429, 48133, 48049"
1171,"48425, 48035, 48217, 48221"
1172,"48397, 48257 "
1173,"48137, 48385, 48271, 48267, 48507, 48163, 48171, 48265"
1174,"48001, 48073 "
1175,"48145, 48293, 48331, 48349"
